,AGENCY,ADDRESS,CONTACT PERSON,FAX,TELEPHONE,SPECIALIZATION,WEBSITE,MOBILE,EMAIL,ABOUT
635,,"C-401, Nirvana Courtyard, Nirvana Country, Sector - 50, ,Gurugram,Haryana(120018)",,,,,,,,
636,,Waxpol Hotels & Resorts Ltd (Allied - 829),,,,,,,,
637,,"402 Gangandeep Building 12 Rajendra Plac ,New Delhi,Delhi(110008 )",,,,,,,,
638,,Anchor Destinations & Travel Management (ACT - 1075),,,,,,,,
639,,"LG 46B Raheja Mall Sohna Road, Sector 47 ,Gurugram,Haryana()",,,,,,,,
640,,Welgrow Travels Pvt.Ltd. (ACT - 556),,,,,,,,
641,,"05 Community Center (2nd floor) Saket,New Delhi,Delhi(110017 )",,,,,,,,
642,,Spark Destinations (ACT - 685),,,,,,,,
643,,"Rama Mansion, SCO 41-42, 1st Floor Sector-7, HUDA Market, Near ICICI Bank ,Faridabad,Haryana(121006)",,,,,,,,
644,,Welcom Heritage (Allied - 112),,,,,,,,
645,,"25, Community Centre 4th Floor Basant Lok Vasant Vihar ,New Delhi,Delhi(110057 )",,,,,,,,
646,,Rover Holidays Pvt.Ltd. (ACT - 258),,,,,,,,
647,,"I-C/102, N.I.T. ,Faridabad,Haryana(121001 )",,,,,,,,
648,,"Welcome Tours & Travels , New Delhi (Allied - 306)",,,,,,,,
649,,"5/5 D.B.Gupta Road Paharganj ,New Delhi,Delhi(110055 )",,,,,,,,
650,,Rimmi Travels Pvt.Ltd. (ACT - 1065),,,,,,,,
651,,"Shop No.8-9 (Basement), SCO 100-101, Sector 16 ,Faridabad,Haryana(121002)",,,,,,,,
652,,WELCOME TRIPS (ACT - 306),,,,,,,,
653,,"42, 2nd floor, N.W.A.Club Road ,Punjabi Bagh ,New Delhi,Delhi(110026 )",,,,,,,,
654,,Hifly Travels (ACT - 006),,,,,,,,
655,,"Shop No.52-53, Sector 11D Market ,Faridabad,Haryana(121006)",,,,,,,,
656,,Far Horizon Tours Pvt.Ltd (ACT - 1047),,,,,,,,
657,,"#50 LGF Charmawood Plaza Eros Garden Near Surajkund ,Faridabad,Haryana(121009)",,,,,,,,
658,,White Feathers Hospitality Pvt.Ltd. (ACT - 1069),,,,,,,,
659,,"BP-13, 3rd. Floor, Metro Pillar No. 220 (Above Kotak Mahendra Bank) New Shadipur Metro Station West Patel Nagar ,New Delhi,Delhi(110008)",,,,,,,,
660,,Shree Travel Planners (Allied - 889),,,,,,,,
661,,"8 Ram NagarNear Jagadari Gate ,Ambala,Haryana()",,,,,,,,
662,,Wish Bone India (ACT - 795),,,,,,,,
663,,"D 25 Ground Floor Lajpat Nagar Part ,New Delhi,Delhi(110024)",,,,,,,,
664,,Witchcraft Holidays Pvt.Ltd. (Allied - 811),,,,,,,,
665,,"S 51 Basement Janta Market Rajouri Garden ,New Delhi,Delhi(110027)",,,,,,,,
666,,Shree Radhey Tour & Travel Pvt.Ltd. (ACT - 589),,,,,,,,
667,,"DSS-38, Sector-1, Amba Market, (Ambala City),Ambala,Haryana(134002)",,,,,,,,
668,,Woodsvilla Resort (Allied - 027),,,,,,,,
669,,"E-4, II Floor Defence Colony New, ,New Delhi,Delhi(110024)",,,,,,,,
670,,World of Travel (ACT - 245),,,,,,,,
671,,"G-39, Ground Floor, Pawan House (Near Berco's Restaurant) Middle Circle, Connaught Place ,New Delhi,Delhi(110 001)",,,,,,,,
672,,Labana World Travel Pvt.Ltd (ACT - 849),,,,,,,,
673,,"18, II Floor MGF Megacity M G Road Gurgaon ,Gurugram ,Haryana(122002 )",,,,,,,,
674,,Worldwide Tour Services Pvt.Ltd. (ACT - 642),,,,,,,,
675,,"E 371 (Top Floor) Nirman Vihar Delhi ,New Delhi,Delhi(110092)",,,,,,,,
676,,Lakshya Holidays (Allied - 701),,,,,,,,
677,,"Gandhi Market Opp.M.C. Complex Behind Nigar Cinema ,Ambala,Haryana()",,,,,,,,
678,,Worth Trip India Pvt.Ltd. (ACT - 976),,,,,,,,
679,,"F 305 Ashish Complex New Rajdhani Enclave Preet Vihar ,New Delhi,Delhi(110092)",,,,,,,,
680,,Arora Travels & Tours (Allied - 813),,,,,,,,
681,,"Court Road Near Khalsa High School ,Ambala,Haryana()",,,,,,,,
682,,X.L. Tours & Travels (ACT - 130),,,,,,,,
683,,"Suite No.221, Plot 3A, N.T.O. Naval Technical Officers Plaza Sector-22, Dwarka ,New Delhi,Delhi(110077)",,,,,,,,
684,,Yayavar Tours Pvt.Ltd (ACT - 855),,,,,,,,
685,,"301 (3rd floor) Mayur Plaza Samachar Market Near Mayur Vihar Extension Metro Station ,New Delhi,Delhi(110091)",,,,,,,,
686,,Welkin Tours & Travels (Allied - 842),,,,,,,,
687,,"Welkin Tours & Travels Baba Building, Residency Road ,Srinagar,Jammu and Kashmir()",,,,,,,,
688,,YTS Travel Service (ACT - 640),,,,,,,,
689,,"118 Indraprakash Building 21 Barakhamba Road ,New Delhi,Delhi(110001)",,,,,,,,
690,,Wahaba Tours & Travels (Allied - 398),,,,,,,,
691,,"Near Hotel Green View Nehru Park ,Srinagar,Jammu and Kashmir(190001 )",,,,,,,,
692,,Yuva Trip Pvt.Ltd. (ACT - 970),,,,,,,,
693,,"Plot No.57, Vijay BlockVikas Marg Laxmi Nagar ,New Delhi,Delhi(110092)",,,,,,,,
694,,VRG Hospitalities Pvt.Ltd (Allied - 1120),,,,,,,,
695,,"108 Ansal Chamber 2 Bhikaji Cama Palace ,New Delhi,Delhi(110066)",,,,,,,,
696,,Tour Passion (ACT - 1118),,,,,,,,
697,,"C 48 Aryanagar ApartmentIP Extension Patpargan ,New Delhi,Delhi(110092)",,,,,,,,
698,,K.L. Travels (ACT - 1114),,,,,,,,
699,,"361-A, Pocket II Mayur Vihar Phase ,New Delhi,Delhi(110091)",,,,,,,,
700,,Tourista International Pvt.Ltd. (ACT - 1121),,,,,,,,
701,,"707 Arunachal Building 19 Barakhamba Road ,New Delhi,Delhi(110001)",,,,,,,,
702,,The Travel India ( (Allied - 852),,,,,,,,
703,,"Karnai, Mohammed Ramzan 2nd floor, City Tower Opp..Khyber Hospital Khayam Chowk ,Srinagar,Jammu and Kashmir()",,,,,,,,
704,,Global Destination Management (Allied - 1104),,,,,,,,
705,,"115 R.G.Complex 2Prashant Vihar Sector 14, Rohini ,New Delhi,Delhi(110065)",,,,,,,,
706,,Shiraz Travels (Allied - 395),,,,,,,,
707,,"Shirin Mansions Ambert Lane Residency Road ,Srinagar,Jammu and Kashmir()",,,,,,,,
708,,Royal Collection Hotels & Resorts Pvt.Ltd. (ACT - 1092),,,,,,,,
709,,"Unit No.3, H.No-10.G Block Shyam Park, Near Nawada Metro Station ,New Delhi,Delhi(110059)",,,,,,,,
710,,Shree Mazda Tours & Travels (ACT - 817),,,,,,,,
711,,"1st floor. Dar Complex Boulevard (Dal Lake) ,Srinagar,Jammu and Kashmir()",,,,,,,,
712,,Ifly Vacations Pvt.Ltd. (Allied - 1095),,,,,,,,
713,,"315 Suneja Tower - 1, District Centre Janakpuri ,New Delhi,Delhi( 110058)",,,,,,,,
714,,Shahnama Tours (Allied - 396),,,,,,,,
715,,"1st floor, Shop No.8 A Boulevard Shopping Complex Dalgate ,Srinagar,Jammu and Kashmir(190001 )",,,,,,,,
716,,Travel Punditz ( - 1096),,,,,,,,
717,,"8002 D/8 , Vasant Kunj,Delhi( 110070)",,,,,,,,
718,,Shah Travels Pvt.Ltd. (ACT - 279),,,,,,,,
719,,"Auqaf Building Dalgate ,Srinagar,Jammu and Kashmir(190001 )",,,,,,,,
720,,Shangloo Travels Pvt.Ltd. (Add Category - ),,,,,,,,
721,,"Boulevard Road Near CICOP Building ,Srinagar,Jammu and Kashmir(190001 )",,,,,,,,
722,,Royal Tours & Travels (ACT - 838),,,,,,,,
723,,"2nd Floor, Guroo Manzil Dal Gate, Khonakhan Road ,Srinagar,Jammu and Kashmir()",,,,,,,,
724,,Royal India Expedition (Allied - 850),,,,,,,,
725,,"K.P.Bagh Near Mahjoor Bridge ,Srinagar,Jammu and Kashmir()",,,,,,,,
726,,Ratta Holiday Tour & Travels (Add Category - ),,,,,,,,
727,,"Room No.20 2nd floor Gulmarg Shoping Complex Boulevard Road ,Srinagar,Jammu and Kashmir()",,,,,,,,
728,,New Smart Tours & Travels (Allied - 844),,,,,,,,
729,,"2nd Floor Rather Complex M.A. Link Road ,Srinagar,Jammu and Kashmir(190001 )",,,,,,,,
730,,Milli Group of Tour & Travels (Add Category - ),,,,,,,,
731,,"Mecca Towers Room No. 1 M.A.Link Road Munawarabad ,Srinagar,Jammu and Kashmir()",,,,,,,,
732,,Mazda Travels (Allied - 391),,,,,,,,
733,,"3rd floor, Polo Plaza , Polo View ,Srinagar,Jammu and Kashmir(190001 )",,,,,,,,
734,,Travel Planners Pvt.Ltd. (ACT - 435),,,,,,,,
735,,"A-220, Mahipalpur Extension, Steet No - 6, NH-8 ,New Delhi,Delhi(110037)",,,,,,,,
736,,Travel Online (Allied - 565),,,,,,,,
737,,"7A/67 GROUND FLOOR, CHANA MARKET WEA KAROL BAGH ,New Delhi,Delhi(110005)",,,,,,,,
738,,Mascot Travels (ACT - 195),,,,,,,,
739,,"Tuman House, Ground Floor Dewan Colony, ISHBER ,Srinagar,Jammu and Kashmir()",,,,,,,,
740,,Travel Monitor (India) (ACT - 525),,,,,,,,
741,,"Flat No. 203 Victoria Cross 4/55 Sarawati Marg W.E.A. Karol Bagh, ,New Delhi,Delhi(110005)",,,,,,,,
742,,Mantana Tour & Travels (Allied - 632),,,,,,,,
743,,"4A, 1st floor, Gulmarg Shopping Complex, Boulevard road Dal Gate ,Srinagar,Jammu and Kashmir(190001)",,,,,,,,
744,,Just Tour & Travels (ACT - 1017),,,,,,,,
745,,"8/9 faizi Complex Opp.Law Collage Pushro Road Nowgam Bypass ,Srinagar,Jammu and Kashmir(190015)",,,,,,,,
746,,Travel Ease (ACT - 017),,,,,,,,
747,,"R-50 Mangalam Shakarpur Vikas Marg ,New Delhi,Delhi(110092)",,,,,,,,
748,,Travstarz Holiday & Destinations Pvt.Ltd. (Allied - 708),,,,,,,,
749,,"Unit 303-304, Vipul Agora, M.G. Road, Sector-28,Gurugram,Haryana(122002)",,,,,,,,
750,,JKL Travels (Allied - 1101),,,,,,,,
751,,"304 Wani Manzil Lambert Lane Residency Road ,Srinagar,Jammu and Kashmir(190001)",,,,,,,,
752,,Travel Passion Inc (ACT - 808),,,,,,,,
753,,"10/210 2nd floor, Sikka Complex Community Centre ,New Delhi,Delhi(110092)",,,,,,,,
754,,Indus Discoveries Pvt.Ltd. (ACT - 639),,,,,,,,
755,,"Amar Singh College Road Gogji Bagh ,Srinagar,Jammu and Kashmir(190008 )",,,,,,,,
756,,Travel Experts (ACT - 702),,,,,,,,
757,,"106 Samrat Bhavan, (Behind Satyam Cinema) Ranjit Nagar Commercial Complex ,New Delhi,Delhi(110049)",,,,,,,,
758,,India Incredible Holiday Travels (ACT - 818),,,,,,,,
759,,"Green Enclave (1stfloor) Raj Bagh Extension Near Airtel Showroom ,Srinagar,Jammu and Kashmir(190008 )",,,,,,,,
760,,Travel Bureau International (ACT - 046),,,,,,,,
761,,"3382, Delhi Gate ,New Delhi,Delhi(110002)",,,,,,,,
762,,Travel Arcade (ACT - 105),,,,,,,,
763,,"612, ANSAL'S IMPERIAL TOWER NEAR C-BLOCK GURUDWARA, NARAINA VIHAR ,New Delhi,Delhi(110028)",,,,,,,,
764,,High Mountain Adventure (Allied - 401),,,,,,,,
765,,"Bhaktawar Plaza Residency Road Regal Lane ,Srinagar,Jammu and Kashmir()",,,,,,,,
766,,TRAV TALK (HONY - 019),,,,,,,,
767,,"72, Todarmal Road ,New Delhi,Delhi(110001)",,,,,,,,
768,,Hill Tours (ACT - 816),,,,,,,,
769,,"14A Polo View ,Srinagar,Jammu and Kashmir()",,,,,,,,
770,,Tourwala Enterprises Pvt.Ltd (ACT - 237),,,,,,,,
771,,"sf 26 Cross River Mall CBD Ground Shahdra ,New Delhi,Delhi(110032)",,,,,,,,
772,,Holiday Designers Travel & Tour (Allied - 815),,,,,,,,
773,,"12 Hotel Heemal Shopping Arcade Boulevard Road ,Srinagar,Jammu and Kashmir(190001 )",,,,,,,,
774,,Explore Culture & Tours Pvt.Ltd (ACT - 277),,,,,,,,
775,,"Opp. Kabir Hotel, Gagribal, Nehru Park P.O.Box 365 ,Srinagar,Jammu and Kashmir(190001 )",,,,,,,,
776,,Tourism Corporation of Gujarat Ltd (HONY - 761),,,,,,,,
777,,"A 6 State Exporia Building Baba Kharak Singh Marg ,New Delhi,Delhi(110001)",,,,,,,,
778,,Earth Explorers Travel & Tours (ACT - 389),,,,,,,,
779,,"Narwari Manzil ,Court Road ,Srinagar,Jammu and Kashmir(190001 )",,,,,,,,
780,,Tourism & Wildlife (HONY - 150),,,,,,,,
781,,"24, Gola Market Daryaganj ,New Delhi,Delhi(110002)",,,,,,,,
782,,Discover Culture India (ACT - 278),,,,,,,,
783,,"Raj Bagh Extension, Opp Mughal e Azam Bakery. ,Srinagar,Jammu and Kashmir(190 008)",,,,,,,,
784,,Culture & Nature Expeditions ( - 388),,,,,,,,
785,,"Level II, Gulnoor ComplexDr Sethi Crossing, Gogji Bagh ,Srinagar,Jammu and Kashmir(190008 )",,,,,,,,
786,,TNI Holidays- DMC (ACT - 370),,,,,,,,
787,,"Suite 209, 2nd Floor, SCO 349 Sector-9,Panchkula,Haryana(134113)",,,,,,,,
788,,Centre Tour & Travel (Allied - 412),,,,,,,,
789,,"C/O Hotel Center Point Bishamber Nagar ,Srinagar ,Jammu and Kashmir()",,,,,,,,
790,,MP Top Travels (Allied - 1068),,,,,,,,
791,,"B 396 Avas Vikas Nandanpura ,Jhansi,Uttar Pradesh(284003)",,,,,,,,
792,,Shring International Travels & Tours (ACT - 986),,,,,,,,
793,,"F 24 Second floor Sector 18 ,Noida,Uttar Pradesh(201301)",,,,,,,,
794,,Prakriti Holidays (ACT - 104),,,,,,,,
795,,"Shop No.2, Ground Floor, Kiritimaan Plaza, Sector 30 ,Noida,Uttar Pradesh(201301 )",,,,,,,,
796,,Transglobal Tours & Travels (ACT - 551),,,,,,,,
797,,"FF 18,T DI Paragon Mall Rajouri Garden ,New Delhi,Delhi(110027)",,,,,,,,
798,,Mercantile Holidays (AFF - 350),,,,,,,,
799,,"B 127 Kendriya Vihar Sector 51 ,Noida,Uttar Pradesh(201303 )",,,,,,,,
800,,Mach Conferences & Events (P) Ltd (ACT - 343),,,,,,,,
801,,"412-414 Krishna Apra Plaza Sector 18 Noida ,Noida,Uttar Pradesh(201301 )",,,,,,,,
802,,The Co-ordinators ( - 522),,,,,,,,
803,,"529-530, Som Dutt Chambers - II, Bikaji Cama Place ,New Delhi,Delhi(110066)",,,,,,,,
804,,Indian Trails Sourcing Services Pvt.Ltd. (ACT - 584),,,,,,,,
805,,"C 2/48 Sector 31 ,Noida,Uttar Pradesh(201301 )",,,,,,,,
806,,The LemonTree Hotels Ltd. (Allied - 604),,,,,,,,
807,,"Asset No.6 Aerocity Hospitality ,New Delhi,Delhi(110037)",,,,,,,,
808,,Indian Holiday Expert (Add Category - ),,,,,,,,
809,,"B 67 A Sector 19 ,Noida,Uttar Pradesh(201301)",,,,,,,,
810,,IB Travellerz Edge LLP (Allied - 1019),,,,,,,,
811,,"B 32 Sector 4 ,Noida,Uttar Pradesh(201301)",,,,,,,,
812,,The Leaf Holidys Pvt.Ltd (ACT - 1040),,,,,,,,
813,,"111, R G Complex IIPrashant Vihar Rohini Sec 14 ,New Delhi,Delhi(110085)",,,,,,,,
814,,Taj Travels (Allied - 526),,,,,,,,
815,,"110 Kamal Plaza 2265 Gurudwara Road ,New Delhi,Delhi(110005)",,,,,,,,
816,,Taj India Tours (Allied - 860),,,,,,,,
817,,"A 3/269 N H 8 Mahipalpur Extension ,New Delhi,Delhi(110037)",,,,,,,,
818,,Green Tourism Promotion (ACT - 419),,,,,,,,
819,,"D 62 First floor Sec 36 ,Noida,Uttar Pradesh(201301)",,,,,,,,
820,,Swan Tours (ACT - 624),,,,,,,,
821,,"F 6 Shankar Market Connaught Place ,New Delhi,Delhi(110001)",,,,,,,,
822,,Swagatam Travels Pvt. Ltd. (ACT - 554),,,,,,,,
823,,"23A Shiavji Marg (2nd floor) Najafgarh Road, Moti Nagar ,New Delhi,Delhi(110015)",,,,,,,,
824,,Friends Projects Pvt.Ltd. (ACT - 960),,,,,,,,
825,,"112 Vishal Chambers Sector 18,Noida,Uttar Pradesh(201301)",,,,,,,,
826,,Swadeshi Journeys Pvt.Ltd. (ACT - 459),,,,,,,,
827,,"104, 25/14 Crown Plaza Building East Patel Nagar ,New Delhi,Delhi(110008)",,,,,,,,
828,,Sun & Sand Tours & Travels (ACT - 028),,,,,,,,
829,,"39,First Floor, Sardar Bhawan, Shahpurjat, Nr Asiad Village,,New Delhi,Delhi(110049)",,,,,,,,
830,,Envoy Tours (Allied - 722),,,,,,,,
831,,"N 195 Second Floor Sector 12 ,Noida,Uttar Pradesh(201301 )",,,,,,,,
832,,Sun Dream Tours & Holidays Pvt.Ltd. (ACT - 364),,,,,,,,
833,,"302, 3rd Floor Aggarwal Mall Plot No.3, Sector 5 Dwaka ,New Delhi,Delhi(110075)",,,,,,,,
834,,Hotel Golf View (Allied - 736),,,,,,,,
835,,"14/1 Opp.Botanical Metro Station Sector 37 ,Noida,Uttar Pradesh()",,,,,,,,
836,,Sugam Travels Pvt.Ltd (ACT - 321),,,,,,,,
837,,"B 4 Gulmohar Park ,New Delhi,Delhi(110049)",,,,,,,,
838,,Sunrise Airways Pvt.Ltd. (ACT - 580),,,,,,,,
839,,"G 55 Palika Place Panchkuian Road ,New Delhi,Delhi(110001)",,,,,,,,
840,,Blue Moon Travels Pvt.Ltd. (ACT - 727),,,,,,,,
841,,"D 40 GF Sector 6 ,Noida,Uttar Pradesh(201301 )",,,,,,,,
842,,Suman Tour and Travels (ACT - 643),,,,,,,,
843,,"13/369 B Geeta Colony ,New Delhi,Delhi(110031)",,,,,,,,
844,,Sunshine Inn (Allied - 292),,,,,,,,
845,,"19 Srestha Vihar Delhi ,New Delhi,Delhi(110092)",,,,,,,,
846,,"Blue Bell Tours & Travels Pvt.Ltd., (ACT - 959)",,,,,,,,
847,,"LGF 70 Ansal Fortune Arcade Sector 18 ,Noida,Uttar Pradesh(201301)",,,,,,,,
848,,Stimulus Hospitality Pvt.Ltd. (ACT - 688),,,,,,,,
849,,"563 Ground Floor, Pocket B, Phase II Sector 14, Dwarka ,New Delhi,Delhi(110078)",,,,,,,,
850,,SS Travel House (ACT - 1041),,,,,,,,
851,,"H 6B First floorAbove Rajdhani Jewelers, Main Market Kalkaji ,New Delhi,Delhi(110019)",,,,,,,,
852,,Baghaan Orchard Retreat (Add Category - ),,,,,,,,
853,,"A 20 Sector 35 ,Noida,Uttar Pradesh()",,,,,,,,
854,,Starlite Destination Management Co.Pvt.Ltd. (ACT - 457),,,,,,,,
855,,"C 126, Gate No.2, First Floor Naraina Industrial Area Phase ,New Delhi,Delhi(110028)",,,,,,,,
856,,Asian Adventures (Allied - 025),,,,,,,,
857,,"B-9, Sector 27 ,Noida,Uttar Pradesh(201301)",,,,,,,,
858,,Spring Travels Pvt.Ltd. (ACT - 305),,,,,,,,
859,,"310 Ambica Vihar Paschim Vihar ,New Delhi,Delhi(110048)",,,,,,,,
860,,Special Holidays Travel (P)Ltd. (Allied - 109),,,,,,,,
861,,"S-203, D.A.V. ComplexLocal Commercial Centre Mayur Vihar Phase ,New Delhi,Delhi(110091)",,,,,,,,
862,,Amazing India Routes (ACT - 1070),,,,,,,,
863,,"215 2nd floor, Hansraj Tower Sector 31 ,Noida ,Uttar Pradesh(201301)",,,,,,,,
864,,Space Travel (ACT - 740),,,,,,,,
865,,"Plot No.113 Baagdola Sector 8 Dwarka ,New Delhi,Delhi(110075)",,,,,,,,
866,,Sparrow Wing Travels ( - 188),,,,,,,,
867,,"197, Commercial Complex Jhandewalan Extension ,New Delhi,Delhi(110055)",,,,,,,,
868,,Active Services (ACT - 796),,,,,,,,
869,,"A 86 Sector 65 ,Noida,Uttar Pradesh(201301 )",,,,,,,,
870,,Span Holidays (ACT - 004),,,,,,,,
871,,"Ground Floor (Rear) 35, Chandralok Building Janpath ,New Delhi,Delhi(110001)",,,,,,,,
872,,Southern Travels Pvt.Ltd. (ACT - 303),,,,,,,,
873,,"Hotel Southern Buildings 18/2 Arya Samaj Road Karol Bagh ,New Delhi,Delhi(110005)",,,,,,,,
874,,ABN Travels & Vacations Pvt.Ltd. (Allied - 221),,,,,,,,
875,,"410, 4th Floor, Wave Silver Tower, Sector-18 ,Noida,Uttar Pradesh(201301)",,,,,,,,
876,,S.A. Southend Travels Pvt.Ltd. (ACT - 096),,,,,,,,
877,,"14, Tribhuvan Complex Ishwar Nagar Mathura Road ,New Delhi,Delhi(110065)",,,,,,,,
878,,Sarang Trade Links (ACT - 755),,,,,,,,
879,,"30/48, K Vinod Market Mahavir Chowk ,Muzaffarnagar,Uttar Pradesh()",,,,,,,,
880,,SOS Travel House (ACT - 099),,,,,,,,
881,,"230A Masjid Moth South Extension Part ,New Delhi,Delhi(110049)",,,,,,,,
882,,Paryatan (ACT - 451),,,,,,,,
883,,"28/12 Gandhi Colony Muzaffar Nagar ,Muzaffarnagar,Uttar Pradesh()",,,,,,,,
884,,Stay Solutions Pvt.Ltd (Allied - 870),,,,,,,,
885,,"G 4 B Aashirwad Complex D 1 Green Park ,New Delhi,Delhi(110016)",,,,,,,,
886,,Spring Holiday Ltd (ACT - 443),,,,,,,,
887,,"B 5/1 (2nd floor), Sector 4, Rohini ,New Delhi,Delhi(110085)",,,,,,,,
888,,Handyman Travel 'n' Tours & Event Organizers (Allied - 724),,,,,,,,
889,,"25-A Lala Ka Bazaar ,Meerut,Uttar Pradesh()",,,,,,,,
890,,Frizzon Travel (Allied - 861),,,,,,,,
891,,"229 W K Road ,Meerut,Uttar Pradesh(250001 )",,,,,,,,
892,,Specialized Destination Services Pvt.Ltd. (ACT - 972),,,,,,,,
893,,"A 103-104 Lower Ground Floor Dayanand Colony ,New Delhi,Delhi(110024)",,,,,,,,
894,,Ananya Travel Wings (Allied - 828),,,,,,,,
895,,"A 128 Gagan Deep Behind Transport Nagar Police Station ,Meerut,Uttar Pradesh(250002 )",,,,,,,,
896,,S.P.B.Holidays (ACT - 1083),,,,,,,,
897,,"7A/44 Shop No.6 ground floor W.E.A.Karol Bagh ,New Delhi,Delhi(110005)",,,,,,,,
898,,Hotel Sheetal Regency (Allied - 430),,,,,,,,
899,,"4/349 Deeg Gate Masani Road Mathura ,Mathura,Uttar Pradesh(281001 )",,,,,,,,
900,,Snow Leopard Adventures Pvt.Ltd. (Allied - 191),,,,,,,,
901,,"C9/9174 Vasant Kunj, ,New Delhi,Delhi(110070)",,,,,,,,
902,,Anupam Holiday Makers Pvt.Ltd. (ACT - 704),,,,,,,,
903,,"C 230 Sahara Plaza Gomti Nagar ,Lucknow,Uttar Pradesh(226010 )",,,,,,,,
904,,Signature Vacations Pvt.Ltd. (ACT - 1110),,,,,,,,
905,,"Flat No.301 3rd floor Shakti Chamber ,New Delhi,Delhi(110005)",,,,,,,,
906,,Ve Kalp Holidays Pvt.Ltd (ACT - 1016),,,,,,,,
907,,"G 5 GF Eldeco Green Meadows Sector Pie-one ,Greater Noida,Uttar Pradesh(201308)",,,,,,,,
908,,Sibtain Holidays Pvt.Ltd (ACT - 862),,,,,,,,
909,,"33, 2nd floor Pratap Nagar Mayur Vihar Phase ,New Delhi,Delhi(110091)",,,,,,,,
910,,Shree Tours & Travels (ACT - 798),,,,,,,,
911,,"B-2-145, 3rd Floor, Safdarjung Enclave ,New Delhi,Delhi(110029)",,,,,,,,
912,,Shree Anand Travels (ACT - 155),,,,,,,,
913,,"2, Manish Chambers (L.S.C.) Saini Enclave Main Vikas Marg ,New Delhi,Delhi(110092)",,,,,,,,
914,,Siddhi Vinayak Hospitality Serices (ACT - 480),,,,,,,,
915,,"G - 14 SF Eldeco Green Meadows Sector- Pie-one ,Greater Noida,Uttar Pradesh(201308 )",,,,,,,,
916,,Shivani Tours & Travels (ACT - 764),,,,,,,,
917,,"3741 (1st floor) Netaji Subhash Marg Daryaganj ,New Delhi,Delhi(110002)",,,,,,,,
918,,kaynat kazi (HONY - 1098),,,,,,,,
919,,"A 3206, Tower 7, Purvanchal Silvercity-2 Sector - PI-2 ,Greater Noida,Uttar Pradesh()",,,,,,,,
920,,Indus Vacations Pvt Ltd (ACT - 957),,,,,,,,
921,,"202 Krishna Apra Plaza Alpha 1 Gautam Budh Nagar Uttar Pradesh ,Greater Noida,Uttar Pradesh(201308)",,,,,,,,
922,,Shakti Resort (Allied - 294),,,,,,,,
923,,"6 CPWD Market Baba Kharak Singh Marg ,New Delhi,Delhi(110001)",,,,,,,,
924,,Yellow Planet Holidays Pvt.Ltd. (Allied - 1097),,,,,,,,
925,,"PE-7 Madhuban Palace Sector 23 Rajnagar ,Gazhiabad ,Uttar Pradesh()",,,,,,,,
926,,Shamrock Journeys (P) Ltd (ACT - 356),,,,,,,,
927,,"D 11 Lower Ground floor Maharani Bagh ,New Delhi,Delhi(110065)",,,,,,,,
928,,Usha Indian Destinations (ACT - 706),,,,,,,,
929,,"Parsvnath Majestic Arcade (3rd floor) 18-A Vaibhav Khand Indirapuram ,GHAZIABAD,Uttar Pradesh()",,,,,,,,
930,,seven Seaz Vacations Pvt.Ltd (Allied - 831),,,,,,,,
931,,"H-5, South Extension-1 ,New Delhi,Delhi(110001)",,,,,,,,
932,,Star Vacations Pvt.Ltd( (ACT - 757),,,,,,,,
933,,"104 G F New Gandhi Nagar ,GHAZIABAD,Uttar Pradesh(201001 )",,,,,,,,
934,,Sehgal Transport Service (ACT - 472),,,,,,,,
935,,"B-2A/7 Najafgarh Road Janakpuri ,New Delhi,Delhi(110058)",,,,,,,,
936,,Reliable Vacation Private Limited (ACT - 938),,,,,,,,
937,,"Reliable City Center, FF - 11 Sector - 6, ,Ghaziabad,Uttar Pradesh(201012)",,,,,,,,
938,,Shivam International (Allied - 777),,,,,,,,
939,,"612 Indraprakash Building Barakhamba ,New Delhi,Delhi(110001)",,,,,,,,
940,,PRO India Tourism (Add Category - ),,,,,,,,
941,,"53A Naveen Park Sahibabad ,Sahibabad,Uttar Pradesh(201005)",,,,,,,,
942,,Shikhar Travels (India) Pvt.Ltd. (ACT - 548),,,,,,,,
943,,"O 47, Lower Ground Floor, Lajpat Nagar Part II ,New Delhi,Delhi(110024)",,,,,,,,
944,,Splendour Exhibitions Pvt.Ltd. (ACT - 1035),,,,,,,,
945,,"2,201 Oberoi House 2nd floor Local Shopping Complex ,New Delhi,Delhi(45679595)",,,,,,,,
946,,S.P.Hotel & Hospitality (ACT - 950),,,,,,,,
947,,"UG 4, E 57 West Vinod Nagar ,New Delhi,Delhi(110092)",,,,,,,,
948,,MM Travels (ACT - 143),,,,,,,,
949,,"KK-1 Kavi Nagar ,GHAZIABAD,Uttar Pradesh()",,,,,,,,
950,,Skies Holidays Pvt.Ltd. (ACT - 1099),,,,,,,,
951,,"37 NWA, Club Road Punjabi Bagh ,New Delhi,Delhi(110026)",,,,,,,,
952,,Sapphire Ventures (ACT - 996),,,,,,,,
953,,"11,4598/12 B 2nd floor Gola Cottage Ansari Road, Daryagang ,New Delhi,Delhi(110002)",,,,,,,,
954,,Lodhi Air Tours & Travels (P) Ltd (ACT - 463),,,,,,,,
955,,"Shop No-7A Supertech Rameshwar Orchids Kaushambi, Near Yashoda Hospital ,GHAZIABAD,Uttar Pradesh()",,,,,,,,
956,,Satkar Travel Lines (Allied - 520),,,,,,,,
